,doc_url,name,bulletin,topic,commission
533_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/IPC-18-1.pdf,Iniciativa Popular Constituyente que establece inhabilidad para ejercer cargos públicos para personas condenadas por corrupción (N°3182),Boletín 18-1 Popular,Inhabilidad cargos públicos,Comisión sobre Sistema Político
535_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/IPC-16-4.pdf,Iniciativa Popular Constituyente sobre derecho a la vivienda digna (N°41126),Boletín 16-4 Popular,Derecho a la vivienda,Comisión de Derechos Fundamentales
537_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/IPC-14-4.pdf,Iniciativa Popular Constituyente que consagra el derecho a la educación y regula su contenido (N°38),Boletín 14-4 Popular,Derecho a educación ,Comisión de Derechos Fundamentales
539_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/IPC-12-4.pdf,Iniciativa Popular Constituyente sobre derecho a la propiedad privada (N°5502),Boletín N° 12-4 Popular,Derecho propiedad privada,Comisión de Derechos Fundamentales
628_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/01/IPC-10-4.pdf,Iniciativa Popular Constituyente que consagra el derecho a la vida y a la integridad física y psíquica de cada ser humano (N°4138),Boletín 10-4 popular,Derecho a la vida,Comisión de Derechos Fundamentales
627_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/01/IPC-11-4.pdf,Iniciativa Popular Constituyente que consagra derecho a la educación y derecho preferente de los padres y el deber de educar a sus hijos (N°34),Boletín 11-4 popular,Derecho a la educación y derecho preferente de los padres,Comisión de Derechos Fundamentales
728_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/01/IPC-8-4.pdf,Iniciativa Popular Constituyente que consagra la libertad de conciencia y de religión (N°3042),Boletín 08-4 popular,Libertad de conciencia y religión,Comisión de Derechos Fundamentales
730_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/01/IPC-6-5.pdf,Iniciativa Popular Constituyente que reconoce protección y bienestar de los animales (N°1650),Boletín 06-5,Protección animales,Comisión de Medio Ambiente
727_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/01/IPC-9-4.pdf,Iniciativa Popular Constituyente que consagra el derecho a la seguridad individual (N°8618),Boletín 09-4 popular,Derecho a la seguridad individual,Comisión de Derechos Fundamentales
729_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/01/IPC-7-5.pdf,"Iniciativa Popular Constituyente que establece condiciones para la nacionalización de las empresas de la gran minería del cobre, del litio y del oro (N°5602)",Boletín 07-5 popular,Nacionalización minería,Comisión sobre Medio Ambiente
732_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/01/IPC-4-6.pdf,Iniciativa Popular Constituyente que establece Banco Central Autónomo (N°5930),Boletín 04-6 popular,Banco Central,Comisión sobre Sistemas de Justicia
734_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/01/IPC-2-4-1.pdf,"Iniciativa Popular Constituyente que consagra derecho a seguridad social, pensión básica y propiedad de los fondos (N°8590)",Boletín 02-4 popular,Derechos a seguridad social,Comisión de Derechos Fundamentales
731_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/01/IPC-5-4.pdf,Iniciativa Popular Constituyente que consagra el derecho a la profunda exploración del ser y expresar su esencia (N° 45286),Boletín 05-4 popular,Cannabis a la Constitución,Comisión de Derechos Fundamentales
733_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/01/IPC-3-4-1.pdf,Iniciativa Popular Constituyente que consagra derecho de educación y a la libertad de enseñanza (N°4102),Boletín 03-4 popular,Derecho a educación,Comisión de Derechos Fundamentales
735_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/01/IPC-1-4.pdf,Iniciativa Popular Constituyente que reconoce y garantiza a todas las personas sus derechos sexuales y reproductivos (N°5938),Boletín 01-4 Popular,Derechos Sexuales y reproductivos,Comisión de Derechos Fundamentales
